City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,saipan,15.1355,145.701,27.39,65,75,6.17,MP,1707178800
132,constantia,44.1833,28.65,8.38,77,54,7.61,RO,1707178777
133,qaqortoq,60.7167,-46.0333,-21.09,70,0,2.98,GL,1707178738
134,flying fish cove,-10.4217,105.6791,24.82,94,99,0.0,CX,1707178755
135,paita,-5.0892,-81.1144,24.98,85,94,3.06,PE,1707178854
136,ballina,-28.8667,153.5667,31.55,61,70,3.94,AU,1707178712
137,island harbour,50.724,-1.2758,11.69,89,100,4.47,GB,1707178848
138,port elizabeth,-33.918,25.5701,21.72,94,100,5.14,ZA,1707178470
139,general levalle,-34.0147,-63.9241,28.68,71,62,3.79,AR,1707178913
140,acarau,-2.8856,-40.12,27.68,80,23,7.52,BR,1707178913
141,kapuskasing,49.4169,-82.4331,-2.95,93,100,2.57,CA,1707178765
142,grivenskaya,45.6473,38.176,5.4,69,86,10.23,RU,1707178914
143,fort abbas,29.1925,72.8536,10.91,52,3,3.55,PK,1707178914
144,dame-marie,18.5667,-74.4167,25.06,83,27,8.13,HT,1707178914
145,motilla del palancar,39.5709,-1.9068,5.89,50,100,3.09,ES,1707178915
146,bar-sur-aube,48.25,4.5833,5.4,87,73,4.65,FR,1707178915
147,taulaga,-11.0553,-171.0883,28.88,80,96,10.67,AS,1707178806
148,crane,31.3974,-102.3501,14.62,39,13,0.65,US,1707178832
149,st. john's,47.5649,-52.7093,1.55,97,100,9.26,CA,1707178824
150,kerema,-7.9631,145.7785,29.26,70,92,1.82,PG,1707178916
151,west island,-12.1568,96.8225,27.99,83,93,2.57,CC,1707178749
152,tosontsengel,48.7567,98.2839,-27.98,97,100,0.23,MN,1707178916
153,tsiombe,-25.3,45.4833,22.58,91,100,3.47,MG,1707178744
154,damboa,11.156,12.7576,18.81,23,89,3.08,NG,1707178916
155,hassi messaoud,31.6804,6.0729,7.92,57,0,0.0,DZ,1707178917
156,mount isa,-20.7333,139.5,31.87,62,62,3.09,AU,1707178785
157,minas de marcona,-15.2119,-75.1103,20.12,83,43,4.03,PE,1707178762
158,puerto deseado,-47.7503,-65.8938,17.4,60,1,7.85,AR,1707178918
159,vilyuchinsk,52.9306,158.4028,-8.85,70,78,3.11,RU,1707178740
160,smithers,54.7804,-127.1743,-4.82,80,75,1.03,CA,1707178738
161,nar'yan-mar,67.6713,53.087,-18.83,97,100,1.79,RU,1707178919
162,medicine hat,50.0501,-110.6683,-6.82,85,100,1.54,CA,1707178919
163,vorgashor,67.5833,63.95,-24.99,98,40,2.56,RU,1707178866
164,midvagur,62.0511,-7.1939,0.46,80,100,9.26,FO,1707178919
165,bilibino,68.0546,166.4372,-34.13,99,99,0.72,RU,1707178727
166,guerrero negro,27.9769,-114.0611,18.71,56,93,3.83,MX,1707178920
167,kidal,18.4411,1.4078,16.35,17,90,5.82,ML,1707178921
168,shimoda,34.6667,138.95,7.2,93,100,6.62,JP,1707178864
169,smirnovo,54.5125,69.4222,0.75,90,100,8.42,KZ,1707178921
170,hammerfest,70.6634,23.6821,-10.23,88,50,3.93,NO,1707178815
171,dubbo,-32.25,148.6167,23.07,94,100,4.63,AU,1707178726
172,ulsteinvik,62.3432,5.8487,-1.93,93,88,2.24,NO,1707178922
173,luderitz,-26.6481,15.1594,18.33,90,1,2.66,NA,1707178734
174,kumi,36.1136,128.336,1.82,92,100,0.72,KR,1707178809
175,kamaishi,39.2667,141.8833,0.87,64,100,3.29,JP,1707178688
176,waingapu,-9.6567,120.2641,27.45,76,57,2.66,ID,1707178837
177,dakhla,23.6848,-15.958,20.09,41,38,6.35,EH,1707178812
178,corunna,42.982,-84.1178,1.06,93,100,0.0,US,1707178924
179,lauro de freitas,-12.8944,-38.3272,28.01,74,20,5.66,BR,1707178924
180,hawaiian paradise park,19.5933,-154.9731,23.73,75,75,3.6,US,1707178736
181,badger,64.8,-147.5333,-12.94,76,40,1.54,US,1707178732
182,sligo,54.2697,-8.4694,10.38,90,100,8.82,IE,1707178925
183,tosya,41.0155,34.0401,5.62,93,96,2.76,TR,1707178925
184,kone,-21.0595,164.8658,25.84,92,100,2.55,NC,1707178823
185,aasiaat,68.7098,-52.8699,-29.67,87,22,3.76,GL,1707178751
186,wailua homesteads,22.0669,-159.378,25.24,68,100,9.26,US,1707178746
187,prado,-17.3411,-39.2208,25.46,89,69,2.55,BR,1707178926
188,sogod,10.3847,124.9814,26.28,84,100,1.43,PH,1707178927
189,tolanaro,-25.0319,46.9987,23.34,92,100,5.58,MG,1707178825
190,malpica,43.3228,-8.8105,10.19,69,100,1.59,ES,1707178927
191,karacabey,40.2152,28.4038,9.19,79,8,2.76,TR,1707178928
